Date	Open	High	Low	Close	Volume
4/27/2018	51.11	51.39	47.19	47.52	50049800
4/30/2018	47.06	47.69	45.32	45.98	54743800
5/1/2018	45.59	46.87	45.41	46.79	34154900
5/2/2018	45.91	46.74	45.68	45.89	31640800
5/3/2018	45.74	46.87	45.33	46.62	30489600
5/4/2018	46.32	47.7	46.14	47.58	28632200
5/7/2018	48.26	49.11	48.11	48.48	33996900
5/8/2018	48.53	48.86	47.88	48.57	25205500
5/9/2018	49.06	51.03	48.99	51.01	36489100
5/10/2018	51.8	52.68	51.6	52.66	37146300
5/11/2018	52.38	52.8	51.68	51.82	27646400
5/14/2018	52.99	53.71	52.86	53	33376300
5/15/2018	53.8	54.17	52.69	54.01	43307300
5/16/2018	55.59	56.91	55.48	56.5	59011900
5/17/2018	56.01	56.44	53.93	54.7	54832200
5/18/2018	53.6	54.65	52.85	53.39	46088800
5/21/2018	56.18	56.47	54.53	55.48	70858100
5/22/2018	59.05	60.5	58.3	59.03	111262700
5/23/2018	59.05	60	58.15	59.97	64066800
5/24/2018	60.18	61.99	59.56	61.49	74725000
5/25/2018	60.85	62.1	60.61	61.35	54715900
5/29/2018	61.36	63.98	61.35	62.62	75591900
5/30/2018	63.7	64.66	60.92	62.57	84737600
5/31/2018	59.23	60.25	57.17	57.59	101882200
6/1/2018	58.81	59.34	56.88	58.74	74761500
6/4/2018	57.43	59.16	56.62	59.1	64350500
6/5/2018	59.8	60.14	58.83	59.41	41711300
6/6/2018	59.26	59.59	58.3	59.42	36749000
6/7/2018	59.85	60.27	58.56	59.63	42264700
6/8/2018	58.63	61.6	58.22	61.39	57144900
6/11/2018	61.71	62.55	61.07	61.39	42251500
6/12/2018	61.84	61.85	59.94	60.55	43633300
6/13/2018	60.3	61.27	60.02	60.05	33281400
6/14/2018	60.55	60.57	58.67	59.18	43421900
6/15/2018	58.53	59.1	57.3	58.23	45854100
6/18/2018	57.6	58.6	56.87	58.45	36975600
6/19/2018	57.64	59.46	57.11	59.25	43486600
6/20/2018	60.13	61.12	58.8	58.95	57497600
6/21/2018	61.46	61.83	59.09	59.44	70419900
6/22/2018	60.2	60.41	57.02	57.1	63497500
6/25/2018	55.54	55.64	52.41	53.16	72196300
6/26/2018	54.41	54.77	53.61	54.59	42277100
6/27/2018	55	55.35	52.16	52.26	53007500
6/28/2018	52	53.31	51.79	53.14	36878900
6/29/2018	53.69	53.85	52.4	52.44	32582200
7/2/2018	51.52	54.53	51.32	54.48	38934200
7/3/2018	54.55	54.79	50.1	51.48	52190200
7/5/2018	52.63	53.31	51.94	52.84	51136400
7/6/2018	52.54	53.41	51.98	53.23	31841000
7/9/2018	53.8	54.5	53.11	54.31	32579700
7/10/2018	54.66	55.9	54.35	55.74	34852800
7/11/2018	54.39	55	53.77	54.18	38699200
7/12/2018	54.65	55.66	54.35	55.45	29647700
7/13/2018	55.51	56.59	55.32	56.35	28799000
7/16/2018	56.6	57.18	56.06	56.15	25735200
7/17/2018	55.83	57.13	55.5	56.96	24729100
7/18/2018	57.25	58.15	56.92	57.45	33729700
7/19/2018	57.25	57.56	55.67	56.22	39392100
7/20/2018	56.08	56.14	54.83	55.02	32588100
7/23/2018	53.51	54.58	52.22	54.29	42781500
7/24/2018	55	55.4	52.94	53.17	39011500
7/25/2018	52.63	54.22	52.3	53.39	39749200
7/26/2018	53.6	54.74	53.45	53.76	28862500
7/27/2018	54.46	54.63	53.11	53.96	30109700
7/30/2018	54.19	54.25	52.42	53.01	25747800
7/31/2018	53.78	54.22	52.77	52.79	29301700
8/1/2018	52.66	53.58	52.17	52.29	28200000
8/2/2018	51.7	53.55	51.38	53.4	28708000
8/3/2018	53.3	53.4	52.26	52.81	22958900
8/6/2018	52.22	52.81	51.5	52.67	28776900
8/7/2018	52.94	53.44	52.7	53.04	21918600
8/8/2018	52.84	53.53	52.46	53.39	18074700
8/9/2018	52.65	52.85	51.93	52.26	34538400
8/10/2018	51.25	51.95	51.02	51.37	31340800
8/13/2018	51.61	52.06	51.28	51.34	24609500
8/14/2018	51.73	51.77	50.01	50.62	32050200
8/15/2018	49.83	49.86	47.14	47.49	57746200
8/16/2018	48.2	48.31	46.96	47.1	33663000
8/17/2018	46.21	47.36	45.62	47.11	34464200
8/20/2018	47.4	48.61	46.47	48.07	33022900
8/21/2018	48.9	50.37	48.87	49.94	38572900
8/22/2018	50.38	50.65	49.87	50.24	26740400
8/23/2018	50.05	50.24	49.4	49.7	26832000
8/24/2018	49.92	50.82	49.92	50.7	24785500
8/27/2018	51.35	52.45	51.17	52.07	29134100
8/28/2018	52.42	52.56	51.47	52.34	26198800
8/29/2018	52.09	52.16	51.3	51.83	31450800
8/30/2018	51.56	53.68	51.4	52.76	32416600
8/31/2018	52.7	53.23	52.22	52.52	29937300
9/4/2018	52.14	52.3	50.71	51.93	28975100
9/5/2018	51.39	51.6	49.07	49.54	39125100
9/6/2018	48.2	48.45	44.06	44.65	94413400
9/7/2018	45.14	46.46	44.65	44.86	47114300
9/10/2018	45.25	45.38	44.39	44.9	33078300
9/11/2018	43.65	43.75	42.35	43.6	48980700
9/12/2018	41.24	42.18	40.68	41.74	66916000
9/13/2018	42.3	44.49	42.3	43.62	59922100
9/14/2018	44.11	44.56	43.46	44.3	40610300
9/17/2018	43.59	44.32	43.25	43.58	28205300
9/18/2018	43.93	45.87	43.88	45.33	36507400
9/19/2018	45.78	46.06	44.84	45.06	29264700
9/20/2018	46.4	47.22	45.91	46.06	75144100
9/21/2018	44.4	45.6	43.8	44.74	97053400
9/24/2018	44.2	45.65	43.86	45.16	36918900
9/25/2018	45.1	45.46	44.02	44.64	32547500
9/26/2018	44.29	44.76	43.96	44.35	30299800
9/27/2018	44.23	45.52	44.05	44.99	26952400
9/28/2018	44.65	45.61	44.49	45.23	28080400
10/1/2018	45.44	46.08	45.01	45.15	26693400
10/2/2018	44.9	46.69	44.88	45.76	32397000
10/3/2018	46.28	46.42	44.71	45.15	29505100
10/4/2018	44.5	44.75	43.51	44.16	34579600
10/5/2018	44.08	44.63	42.81	43.58	35367100
10/8/2018	43.28	43.85	42.61	43.07	27426600
10/9/2018	42.81	43.04	41.98	42.27	31576400
10/10/2018	41.5	42.75	41.32	41.61	48452000
10/11/2018	41.96	42.92	41.43	41.97	48197000
10/12/2018	43.58	43.75	41.92	42.47	32851100
10/15/2018	42.03	42.55	41.63	42.34	27697300
10/16/2018	42.7	43.35	42.3	43.21	28827400
10/17/2018	43.33	43.39	42.11	42.35	27759000
10/18/2018	42.04	42.21	41.14	41.3	33560800
10/19/2018	41.67	41.99	40.27	40.45	28641400
10/22/2018	40.56	40.7	38.64	39.76	34441200
10/23/2018	38.15	39.11	37.41	38.68	46364200
10/24/2018	38	38.3	35.4	35.43	53096500
10/25/2018	35.59	37.16	35.06	36.78	39625700
10/26/2018	35.28	35.91	34.3	35.4	41257400
10/29/2018	36.14	36.2	33.82	34.66	34176400
10/30/2018	34.64	36.05	34.49	36.01	35319500
10/31/2018	36.58	38.04	35.8	37.72	44055400
11/1/2018	37.98	40.2	37.52	40.12	43981400
