Date	Open	High	Low	Close	Volume
4/17/2019	43.36	44.05	42.76	43.15	22092000
4/18/2019	43.2	43.53	42.79	43.4	16193600
4/22/2019	43.14	43.57	42.53	43.4	19447900
4/23/2019	43.37	43.47	42.72	42.77	21489400
4/24/2019	42.82	43.4	42.38	43.03	19637000
4/25/2019	43.62	44.65	42.69	42.75	28346200
4/26/2019	41.49	42.28	40.77	42.1	26092400
4/29/2019	42.13	42.61	41.73	42.11	13452800
4/30/2019	41.86	42.36	41.58	42.06	16342700
5/1/2019	42.43	42.93	41.89	41.9	17673300
5/2/2019	42	43.2	41.63	42.56	17046800
5/3/2019	42.49	43.38	42.41	43.33	16577000
5/6/2019	41.4	42.29	41	42.13	25776000
5/7/2019	41.68	41.93	39.73	40.26	35094100
5/8/2019	39.86	40.49	39.58	39.75	26190100
5/9/2019	39.1	39.63	38.2	39.27	27844400
5/10/2019	39.01	39.29	37.65	38.94	30368100
5/13/2019	37.36	37.98	37.06	37.38	33092100
5/14/2019	38.02	38.61	37.4	38.51	24004000
5/15/2019	37.9	38.7	37.76	38.41	17532300
5/16/2019	37.68	37.99	37.1	37.31	29479200
5/17/2019	36.61	37.28	35.8	36.06	31096300
5/20/2019	34.75	35.2	34.33	34.62	34489500
5/21/2019	35.29	35.88	35.15	35.64	32501300
5/22/2019	35.2	35.45	34.63	34.73	20902400
5/23/2019	33.89	33.9	32.96	33.82	32186700
5/24/2019	34.16	34.36	33.59	34	19706000
5/28/2019	34.15	34.31	32.88	32.94	26758400
5/29/2019	32.32	33.42	32.17	33.29	28796100
5/30/2019	33.43	34.32	33.03	33.32	20957600
5/31/2019	32.6	33.5	32.52	32.61	18607300
6/3/2019	32.95	33.22	32.47	32.69	21174500
6/4/2019	33.36	34.56	33.1	34.49	25076000
6/5/2019	35.2	35.4	33.04	33.34	27070300
6/6/2019	33.26	33.82	32.94	33.47	21088100
6/7/2019	33.55	34.03	33.22	33.99	21430400
6/10/2019	34.6	35.54	34.52	34.94	21728000
6/11/2019	35.8	35.99	34.75	34.84	19208600
6/12/2019	34.01	34.1	32.73	32.96	28718200
6/13/2019	33.08	33.64	33.01	33.38	16586700
6/14/2019	32.45	32.84	32.24	32.66	19715000
6/17/2019	32.54	32.85	32.14	32.43	20050000
6/18/2019	32.9	34.89	32.9	34.29	33727300
6/19/2019	34.69	34.69	33.71	33.94	20436400
6/20/2019	34.84	35.26	34.02	34.15	21691500
6/21/2019	33.7	33.89	32.73	33.25	38858200
6/24/2019	33.2	34.08	33.02	33.19	27306000
6/25/2019	33.35	33.88	32.61	32.68	39590500
6/26/2019	35.87	37.61	35.7	37.04	100271600
6/27/2019	36.85	38.33	36.51	38.07	51612400
6/28/2019	39.36	39.4	38.05	38.59	61402700
7/1/2019	41.16	41.71	39.74	40.11	61091400
7/2/2019	39.62	40.03	39.03	39.6	29774500
7/3/2019	39.62	39.77	39.17	39.59	13479700
